structureid,annual_electricity_generation_k,first_year_bill_savings,system_size,payback_period,annual_ghg_reduction_kg,roof_size800k,system_cost
15 Cherry Post Cres Structure 1,2032,318,1.766956522,10,142,18,5300
3 Fieldstone Rd Structure 1,6262,980,5.445217391,9,438,53,14700
5 Fieldstone Rd Structure 1,5739,898,4.990434783,10,402,49,15000
8 The Green Pines Structure 1,5269,825,4.58173913,10,369,44,13700
3 The Green Pines Structure 1,5659,886,4.920869565,10,396,49,14800
5 Fourthgreen Pl Structure 1,4752,744,4.132173913,10,333,42,12400
156 Markland Dr Structure 1,3258,510,2.833043478,10,228,30,8500
19 Silverthorne Bush Dr Structure 1,5438,851,4.728695652,10,381,48,14200
27 Tallforest Cres Structure 1,6216,973,5.405217391,9,435,51,14600
25 Tallforest Cres Structure 1,2081,326,1.809565217,10,146,19,5400
231 Mill Rd Structure 1,5289,828,4.599130435,10,370,41,13800
8 Boxwood Rd Structure 1,3217,503,2.797391304,10,225,28,8400
233 Mill Rd Structure 1,1248,195,1.085217391,10,87,11,3300
240 Mill Rd Structure 1,4615,722,4.013043478,10,323,41,12000
23 Tallforest Cres Structure 1,5490,859,4.773913043,10,384,48,14300
241 Mill Rd Structure 1,4612,722,4.010434783,10,323,39,12000
10 Boxwood Rd Structure 1,4022,629,3.497391304,10,282,36,10500
12 Boxwood Rd Structure 1,4434,694,3.855652174,10,310,40,11600
7 Boxwood Rd Structure 1,3725,583,3.239130435,10,261,30,9700
14 Boxwood Rd Structure 1,6198,970,5.389565217,9,434,53,14600
16 Boxwood Rd Structure 1,5182,811,4.506086957,10,363,48,13500
12 Winsdale Rd Structure 1,2974,465,2.586086957,10,208,26,7800
16 Winsdale Rd Structure 1,6014,941,5.229565217,9,421,50,14100
2 Fourthgreen Pl Structure 1,5435,851,4.726086957,10,380,42,14200
136 Markland Dr Structure 1,2757,431,2.397391304,10,193,25,7200
100 Markland Dr Structure 1,5617,879,4.884347826,10,393,46,14700
291 Mill Rd Structure 2,2353,368,2.046086957,10,165,18,6100
82 Markland Dr Structure 1,6198,970,5.389565217,9,434,51,14600
24 Winsdale Rd Structure 1,2302,360,2.00173913,10,161,21,6000
38 Boxwood Rd Structure 1,1288,202,1.12,10,90,11,3400
33 Winsdale Rd Structure 1,1417,222,1.232173913,10,99,13,3700
31 Winsdale Rd Structure 1,4798,751,4.172173913,10,336,40,12500
20 Grasspoint Cres Structure 1,6131,960,5.331304348,9,429,55,14400
16 Grasspoint Cres Structure 1,1849,289,1.607826087,10,129,17,4800
60 Markland Dr Structure 1,3138,491,2.728695652,10,220,29,8200
15 Thornbush Cres Structure 1,4774,747,4.151304348,10,334,40,12500
3 Arbroath Cres Structure 1,5114,800,4.446956522,10,358,46,13300
7 Thicket Rd Structure 1,1438,225,1.250434783,10,101,13,3800
36 Toledo Rd Structure 1,2294,359,1.994782609,10,161,20,6000
1 Arbroath Cres Structure 1,2666,417,2.31826087,10,187,22,7000
39 Clearside Pl Structure 1,5567,871,4.840869565,10,390,48,14500
45 Clearside Pl Structure 1,5074,794,4.412173913,10,355,42,13200
43 Toledo Rd Structure 1,4569,715,3.973043478,10,320,37,11900
6 Arbroath Cres Structure 1,6165,965,5.360869565,9,432,53,14500
44 Toledo Rd Structure 1,5324,833,4.629565217,10,373,43,13900
52 Toledo Rd Structure 1,5915,926,5.143478261,9,414,52,13900
45 Markland Dr Structure 1,5885,921,5.117391304,9,412,48,13800
24 Clearside Pl Structure 1,3779,591,3.286086957,10,265,34,9900
26 Clearside Pl Structure 1,4894,766,4.255652174,10,343,43,12800
64 Bearbury Dr Structure 1,3122,489,2.714782609,10,219,27,8100
24 Markland Dr Structure 1,5719,895,4.973043478,10,400,47,14900
18 Markland Dr Structure 1,6212,972,5.40173913,9,435,54,14600
20 Markland Dr Structure 1,3415,534,2.969565217,10,239,30,8900
18 Greencoat Rd Structure 1,5173,810,4.49826087,10,362,43,13500
55 Toledo Rd Structure 1,4735,741,4.117391304,10,331,42,12400
54 Toledo Rd Structure 1,3600,563,3.130434783,10,252,31,9400
4 Grasspoint Cres Structure 1,2506,392,2.179130435,10,175,22,6500
6 Grasspoint Cres Structure 1,1806,283,1.570434783,10,126,16,4700
8 Grasspoint Cres Structure 1,1369,214,1.190434783,10,96,12,3600
12 Grasspoint Cres Structure 1,3311,518,2.879130435,10,232,29,8600
21 Winsdale Rd Structure 1,3074,481,2.673043478,10,215,26,8000
10 Winsdale Rd Structure 1,2337,366,2.032173913,10,164,21,6100
6 Winsdale Rd Structure 1,1271,199,1.105217391,10,89,11,3300
4 Winsdale Rd Structure 1,5161,808,4.487826087,10,361,43,13500
74 Toledo Rd Structure 1,6289,984,5.468695652,9,440,50,14800
70 Toledo Rd Structure 1,1989,311,1.729565217,10,139,18,5200
68 Toledo Rd Structure 1,4012,628,3.488695652,10,281,37,10500
69 Toledo Rd Structure 1,5168,809,4.493913043,10,362,46,13500
73 Toledo Rd Structure 1,4668,731,4.059130435,10,327,39,12200
77 Toledo Rd Structure 1,3661,573,3.183478261,10,256,33,9600
75 Toledo Rd Structure 1,1443,226,1.254782609,10,101,13,3800
76 Toledo Rd Structure 1,3867,605,3.362608696,10,271,35,10100
6 Boxwood Rd Structure 1,3257,510,2.832173913,10,228,29,8500
4 Boxwood Rd Structure 1,1312,205,1.140869565,10,92,12,3400
83 Toledo Rd Structure 1,3480,545,3.026086957,10,244,30,9100
79 Toledo Rd Structure 1,5401,845,4.696521739,10,378,42,14100
223 Mill Rd Structure 1,4840,757,4.208695652,10,339,41,12600
89 Toledo Rd Structure 1,5509,862,4.790434783,10,386,43,14400
215 Mill Rd Structure 1,2480,388,2.156521739,10,174,22,6500
36 Bearbury Dr Structure 1,4082,639,3.549565217,10,286,35,10600
42 Bearbury Dr Structure 1,1743,273,1.515652174,10,122,15,4500
44 Bearbury Dr Structure 1,3783,592,3.289565217,10,265,32,9900
10 Greencoat Rd Structure 1,2450,383,2.130434783,10,172,22,6400
12 Greencoat Rd Structure 1,1622,254,1.410434783,10,114,15,4200
14 Greencoat Rd Structure 1,5964,933,5.186086957,9,417,52,14000
1 Greencoat Rd Structure 1,5815,910,5.056521739,9,407,50,13700
3 Bearbury Dr Structure 1,1862,291,1.619130435,10,130,16,4900
3 Greencoat Rd Structure 1,4286,671,3.726956522,10,300,38,11200
6 Markland Dr Structure 1,2380,372,2.069565217,10,167,20,6200
17 Cosway Crt Structure 1,3406,533,2.96173913,10,238,30,8900
7 Markland Dr Structure 1,3867,605,3.362608696,10,271,32,10100
8 Markland Dr Structure 1,2058,322,1.789565217,10,144,19,5400
10 Markland Dr Structure 1,4351,681,3.783478261,10,305,38,11400
12 Markland Dr Structure 1,1558,244,1.354782609,10,109,14,4100
14 Markland Dr Structure 1,5971,934,5.192173913,9,418,52,14000
21 Markland Dr Structure 1,4308,674,3.746086957,10,302,33,11200
17 Markland Dr Structure 1,6028,943,5.24173913,9,422,48,14200
11 Aymarn Crt Structure 1,4982,780,4.332173913,10,349,43,13000
25 Markland Dr Structure 1,5330,834,4.634782609,10,373,41,13900
2 Clearside Pl Structure 1,3157,494,2.745217391,10,221,28,8200
3 Clearside Pl Structure 1,4388,687,3.815652174,10,307,38,11400
17 Aymarn Crt Structure 1,5746,899,4.996521739,10,402,45,15000
15 Aymarn Crt Structure 1,4658,729,4.050434783,10,326,38,12200
10 Aymarn Crt Structure 1,5243,821,4.559130435,10,367,48,13700
7 Aymarn Crt Structure 1,2164,339,1.88173913,10,151,20,5600
16 Cosway Crt Structure 1,5477,857,4.762608696,10,383,50,14300
14 Cosway Crt Structure 1,5438,851,4.728695652,10,381,44,14200
11 Cosway Crt Structure 1,4959,776,4.312173913,10,347,44,12900
27 Eriksdale Rd Structure 2,3205,502,2.786956522,10,224,24,8400
220 Renforth Dr Structure 1,2981,467,2.592173913,10,209,20,7800
220 Renforth Dr Structure 2,3390,531,2.947826087,10,237,28,8800
218 Renforth Dr Structure 1,2307,361,2.006086957,10,161,15,6000
22 Eriksdale Rd Structure 1,3121,488,2.713913043,10,218,21,8100
20 Eriksdale Rd Structure 1,3204,501,2.786086957,10,224,22,8400
216 Renforth Dr Structure 1,5108,799,4.44173913,10,358,36,13300
18 Eriksdale Rd Structure 1,2716,425,2.36173913,10,190,18,7100
4237 Bloor St W Structure 1,3901,478,3.392173913,12,273,28,10200
4229 Bloor St W Structure 1,5847,915,5.084347826,9,409,46,13700
92 Rayside Dr Structure 2,2003,313,1.74173913,10,140,13,5200
22 Gordon Park Dr Structure 1,5863,918,5.09826087,9,410,48,13800
11 Rollins Pl Structure 1,4510,706,3.92173913,10,316,36,11800
2 Redcar Ave Structure 1,3225,505,2.804347826,10,226,28,8400
7 Eriksdale Rd Structure 1,3931,615,3.41826087,10,275,28,10300
7 Eriksdale Rd Structure 2,1199,188,1.042608696,10,84,11,3100
5 Eriksdale Rd Structure 1,3139,491,2.729565217,10,220,23,8200
6 Eriksdale Rd Structure 2,1868,292,1.624347826,10,131,15,4900
8 Eriksdale Rd Structure 1,5590,875,4.860869565,10,391,38,14600
8 Eriksdale Rd Structure 2,1909,299,1.66,10,134,15,5000
245 Renforth Dr Structure 1,3324,520,2.890434783,10,233,26,8700
241 Renforth Dr Structure 1,3847,602,3.345217391,10,269,28,10000
243 Renforth Dr Structure 1,4129,646,3.590434783,10,289,31,10800
4 Mayland Ave Structure 1,5931,928,5.157391304,9,415,44,13900
6 Rollins Pl Structure 2,1976,309,1.71826087,10,138,16,5200
296 The East Mall Structure 1,6228,975,5.415652174,9,436,48,14600
30 Mayland Ave Structure 2,3301,517,2.870434783,10,231,26,8600
10 Rossburn Dr Structure 1,5002,783,4.349565217,10,350,39,13000
12 Rossburn Dr Structure 2,2292,359,1.993043478,10,160,16,6000
33 Sealcove Dr Structure 1,5118,801,4.450434783,10,358,34,13400
33 Sealcove Dr Structure 2,1821,285,1.583478261,10,127,16,4800
30 Rossburn Dr Structure 1,5422,849,4.714782609,10,380,41,14100
24 Rossburn Dr Structure 1,4691,734,4.079130435,10,328,38,12200
29 Bridgetown Dr Structure 1,2977,466,2.588695652,10,208,24,7800
29 Bridgetown Dr Structure 2,5476,857,4.76173913,10,383,43,14300
23 Sealcove Dr Structure 1,2987,467,2.597391304,10,209,20,7800
25 Sealcove Dr Structure 1,5679,889,4.93826087,10,398,40,14800
37 Bridgetown Dr Structure 2,3175,497,2.760869565,10,222,26,8300
35 Bridgetown Dr Structure 1,3592,562,3.123478261,10,251,23,9400
27 Bridgetown Dr Structure 1,4136,647,3.596521739,10,290,33,10800
18 Rossburn Dr Structure 2,4023,630,3.49826087,10,282,29,10500
16 Rossburn Dr Structure 2,2171,340,1.887826087,10,152,15,5700
19 Bridgetown Dr Structure 1,4966,777,4.31826087,10,348,40,13000
17 Bridgetown Dr Structure 1,3710,581,3.226086957,10,260,30,9700
2 Mayland Ave Structure 1,5744,899,4.994782609,10,402,42,15000
3 Bridgetown Dr Structure 1,1212,190,1.053913043,10,85,11,3200
1 Bridgetown Dr Structure 1,6181,967,5.374782609,9,433,54,14500
8 Bridgetown Dr Structure 1,4501,704,3.913913043,10,315,36,11700
16 Bridgetown Dr Structure 1,3595,563,3.126086957,10,252,30,9400
18 Bridgetown Dr Structure 1,4966,777,4.31826087,10,348,44,13000
32 Bridgetown Dr Structure 2,2675,419,2.326086957,10,187,21,7000
252 Renforth Dr Structure 1,2123,332,1.846086957,10,149,18,5500
248 Renforth Dr Structure 1,4676,732,4.066086957,10,327,36,12200
12 Clearside Pl Structure 1,1488,233,1.293913043,10,104,14,3900
1 Aymarn Crt Structure 1,2151,337,1.870434783,10,151,19,5600
4 Clearside Pl Structure 1,1288,202,1.12,10,90,12,3400
8 Clearside Pl Structure 1,1507,236,1.310434783,10,105,14,3900
18 Clearside Pl Structure 1,3474,544,3.020869565,10,243,32,9100
31 Clearside Pl Structure 1,5808,909,5.050434783,9,407,45,13600
33 Clearside Pl Structure 1,5146,805,4.474782609,10,360,43,13400
274 Renforth Dr Structure 1,4789,749,4.164347826,10,335,36,12500
276 Renforth Dr Structure 1,5613,878,4.880869565,10,393,44,14600
283 Renforth Dr Structure 1,6286,984,5.466086957,9,440,52,14800
45 Bridgetown Dr Structure 1,4642,726,4.036521739,10,325,33,12100
4 Sealcove Dr Structure 1,5324,833,4.629565217,10,373,38,13900
280 Renforth Dr Structure 1,2883,451,2.506956522,10,202,24,7500
20 Mooreshead Dr Structure 1,5872,919,5.106086957,9,411,47,13800
327 Renforth Dr Structure 2,1765,276,1.534782609,10,124,13,4600
329 Renforth Dr Structure 2,2495,390,2.169565217,10,175,17,6500
331 Renforth Dr Structure 2,2093,328,1.82,10,147,16,5500
40 Mooreshead Dr Structure 2,2652,415,2.306086957,10,186,18,6900
30 Mooreshead Dr Structure 1,5205,815,4.526086957,10,364,39,13600
63 Rossburn Dr Structure 1,5866,918,5.100869565,9,411,42,13800
30 Mulgrove Dr Structure 1,1166,182,1.013913043,10,82,10,3000
46 Rossburn Dr Structure 1,3418,535,2.972173913,10,239,28,8900
4 Sunberry Crt Structure 1,4856,760,4.222608696,10,340,43,12700
34 Sealcove Dr Structure 1,3854,603,3.351304348,10,270,26,10100
1 Valhalla Inn Rd Structure 1,4324,677,3.76,10,303,39,11300
7 Formula Crt Structure 1,6289,984,5.468695652,9,440,42,14800
9 Formula Crt Structure 1,5932,928,5.15826087,9,415,44,13900
15 Formula Crt Structure 1,4338,679,3.772173913,10,304,28,11300
17 Formula Crt Structure 1,6001,939,5.21826087,9,420,44,14100
26 Formula Crt Structure 1,4650,728,4.043478261,10,326,38,12100
12 Lormar Dr Structure 1,5334,835,4.63826087,10,373,44,13900
12 Formula Crt Structure 1,5199,814,4.520869565,10,364,38,13600
14 Formula Crt Structure 1,4767,746,4.145217391,10,334,30,12400
16 Formula Crt Structure 1,4716,738,4.100869565,10,330,30,12300
18 Formula Crt Structure 1,4940,773,4.295652174,10,346,34,12900
20 Friendly Dr Structure 1,4764,746,4.142608696,10,333,41,12400
11 Mulgrove Dr Structure 1,4827,755,4.197391304,10,338,38,12600
15 Mulgrove Dr Structure 1,2683,420,2.333043478,10,188,22,7000
17 Mulgrove Dr Structure 1,4734,741,4.116521739,10,331,38,12300
17 Mulgrove Dr Structure 2,2134,334,1.855652174,10,149,16,5600
19 Mulgrove Dr Structure 1,5475,857,4.760869565,10,383,43,14300
1 Civic Centre Crt Structure 2,3110,381,2.704347826,12,218,24,8100
355 The East Mall Structure 1,2908,455,2.528695652,10,204,22,7600
28 Blaketon Rd Structure 2,1618,253,1.406956522,10,113,15,4200
33 Blaketon Rd Structure 2,4958,776,4.311304348,10,347,40,12900
27 Blaketon Rd Structure 2,4996,782,4.344347826,10,350,33,13000
68 Cronin Dr Structure 2,4326,677,3.76173913,10,303,31,11300
72 Cronin Dr Structure 2,1865,292,1.62173913,10,131,16,4900
594 Burnhamthorpe Rd Structure 1,5716,895,4.970434783,10,400,42,14900
590 Burnhamthorpe Rd Structure 1,4471,700,3.887826087,10,313,34,11700
61 Mulgrove Dr Structure 1,5320,833,4.626086957,10,372,43,13900
59 Mulgrove Dr Structure 1,4224,661,3.673043478,10,296,34,11000
57 Mulgrove Dr Structure 1,3129,490,2.720869565,10,219,25,8200
17 Rathgar Ave Structure 1,4846,758,4.213913043,10,339,38,12600
19 Rathgar Ave Structure 1,2066,323,1.796521739,10,145,18,5400
21 Rathgar Ave Structure 1,3508,549,3.050434783,10,246,27,9200
52 Mooreshead Dr Structure 1,5936,929,5.16173913,9,416,44,13900
54 Mooreshead Dr Structure 1,6112,957,5.314782609,9,428,46,14300
48 Mooreshead Dr Structure 1,6181,967,5.374782609,9,433,48,14500
46 Mooreshead Dr Structure 1,4711,737,4.096521739,10,330,38,12300
46 Mooreshead Dr Structure 2,1377,216,1.197391304,10,96,11,3600
31 Rathgar Ave Structure 2,1751,274,1.522608696,10,123,15,4600
22 Rathgar Ave Structure 1,5124,802,4.455652174,10,359,37,13400
20 Rathgar Ave Structure 1,3736,585,3.248695652,10,262,30,9700
18 Rathgar Ave Structure 1,5300,829,4.608695652,10,371,47,13800
34 Tunbridge Cres Structure 1,2175,340,1.891304348,10,152,19,5700
55 Tunbridge Cres Structure 1,5548,868,4.824347826,10,388,46,14500
47 Old Burnhamthorpe Rd Structure 1,6238,976,5.424347826,9,437,45,14600
21 Triburnham Pl Structure 2,2701,423,2.348695652,10,189,22,7000
21 Old Burnhamthorpe Rd Structure 2,2321,363,2.01826087,10,162,19,6100
40 Triburnham Pl Structure 1,4837,757,4.206086957,10,339,37,12600
22 Triburnham Pl Structure 1,6246,977,5.431304348,9,437,48,14700
11 Old Burnhamthorpe Rd Structure 1,5944,930,5.168695652,9,416,42,14000
649 Burnhamthorpe Rd Structure 1,5163,808,4.489565217,10,361,36,13500
2 Windust Gt Structure 1,5677,888,4.936521739,10,397,47,14800
1 Windust Gt Structure 1,4182,654,3.636521739,10,293,37,10900
25 Allonsius Dr Structure 1,3583,561,3.115652174,10,251,29,9300
632 Burnhamthorpe Rd Structure 1,4475,700,3.891304348,10,313,31,11700
334 Renforth Dr Structure 1,3898,610,3.389565217,10,273,32,10200
332 Renforth Dr Structure 1,5668,887,4.928695652,10,397,45,14800
648 Burnhamthorpe Rd Structure 1,5878,920,5.111304348,9,411,40,13800
110 Saturn Rd Structure 1,4577,716,3.98,10,320,40,11900
51 Stoneham Rd Structure 1,5843,914,5.080869565,9,409,45,13700
47 Stoneham Rd Structure 1,5313,831,4.62,10,372,40,13900
49 Stoneham Rd Structure 1,4975,779,4.326086957,10,348,36,13000
23 Stoneham Rd Structure 1,5465,855,4.752173913,10,383,46,14300
9 Stoneham Rd Structure 1,5117,801,4.449565217,10,358,44,13300
17 Stoneham Rd Structure 1,4601,720,4.000869565,10,322,38,12000
19 Stoneham Rd Structure 1,4797,751,4.171304348,10,336,40,12500
15 Stoneham Rd Structure 1,4988,781,4.337391304,10,349,41,13000
11 Stoneham Rd Structure 1,5015,785,4.360869565,10,351,42,13100
7 Stoneham Rd Structure 1,4409,690,3.833913043,10,309,38,11500
24 Stoneham Rd Structure 1,5860,917,5.095652174,9,410,42,13800
26 Stoneham Rd Structure 1,5921,927,5.148695652,9,414,42,13900
9 Markburn Crt Structure 1,4991,781,4.34,10,349,41,13000
11 Markburn Crt Structure 1,5810,909,5.052173913,9,407,48,13600
16 Markburn Crt Structure 1,5874,919,5.107826087,9,411,44,13800
6 Markburn Crt Structure 1,6020,942,5.234782609,9,421,46,14100
4 Markburn Crt Structure 1,6161,964,5.357391304,9,431,48,14500
2 Markburn Crt Structure 1,6080,952,5.286956522,9,426,48,14300
34 Stoneham Rd Structure 1,3358,526,2.92,10,235,27,8800
36 Stoneham Rd Structure 1,3992,625,3.471304348,10,279,32,10400
32 Stoneham Rd Structure 1,4841,758,4.209565217,10,339,38,12600
30 Stoneham Rd Structure 1,5594,875,4.864347826,10,392,44,14600
5 Markburn Crt Structure 1,5224,818,4.542608696,10,366,40,13600
7 Markburn Crt Structure 1,4616,722,4.013913043,10,323,35,12000
33 Stoneham Rd Structure 1,5276,826,4.587826087,10,369,44,13800
27 Stoneham Rd Structure 1,3773,590,3.280869565,10,264,33,9800
35 Stoneham Rd Structure 1,5336,835,4.64,10,374,44,13900
40 Stoneham Rd Structure 1,4977,779,4.327826087,10,348,40,13000
38 Stoneham Rd Structure 1,4654,728,4.046956522,10,326,38,12100
44 Stoneham Rd Structure 1,4204,658,3.655652174,10,294,34,11000
42 Stoneham Rd Structure 1,4891,765,4.253043478,10,342,40,12800
60 Stoneham Rd Structure 1,5698,892,4.954782609,10,399,42,14900
58 Stoneham Rd Structure 1,4913,769,4.272173913,10,344,37,12800
56 Stoneham Rd Structure 1,4803,752,4.176521739,10,336,36,12500
54 Stoneham Rd Structure 1,5527,865,4.806086957,10,387,40,14400
50 Stoneham Rd Structure 1,5572,872,4.845217391,10,390,40,14500
52 Stoneham Rd Structure 1,5626,880,4.892173913,10,394,40,14700
61 Stoneham Rd Structure 1,5913,925,5.14173913,9,414,45,13900
77 Stoneham Rd Structure 1,4387,687,3.814782609,10,307,30,11400
75 Stoneham Rd Structure 1,4007,627,3.484347826,10,280,27,10500
79 Stoneham Rd Structure 1,3669,574,3.190434783,10,257,25,9600
73 Stoneham Rd Structure 1,4461,698,3.879130435,10,312,30,11600
71 Stoneham Rd Structure 1,4259,667,3.703478261,10,298,30,11100
5 Elmcrest Rd Structure 1,4562,714,3.966956522,10,319,35,11900
55 Old Burnhamthorpe Rd Structure 2,3242,507,2.819130435,10,227,26,8500
52 Elmcrest Rd Structure 1,4393,688,3.82,10,308,37,11500
8 Laver Rd Structure 1,5125,802,4.456521739,10,359,36,13400
18 Laver Rd Structure 2,5034,788,4.377391304,10,352,38,13100
4 Pebble Valley Lane Structure 1,6073,950,5.280869565,9,425,46,14300
6 Pebble Valley Lane Structure 1,5403,846,4.69826087,10,378,46,14100
96 Elmcrest Rd Structure 1,5766,902,5.013913043,9,404,50,13500
3 Redthorn Crt Structure 2,1727,270,1.50173913,10,121,13,4500
71 Allonsius Dr Structure 2,1558,244,1.354782609,10,109,11,4100
69 Allonsius Dr Structure 2,5413,847,4.706956522,10,379,39,14100
393 Renforth Dr Structure 2,4715,738,4.1,10,330,35,12300
422 Renforth Dr Structure 1,3203,501,2.785217391,10,224,27,8400
61 Melbert Rd Structure 1,3217,503,2.797391304,10,225,28,8400
53 Melbert Rd Structure 1,5229,818,4.546956522,10,366,36,13600
150 Elmcrest Rd Structure 2,6180,967,5.373913043,9,433,44,14500
150 Elmcrest Rd Structure 3,6078,951,5.285217391,9,425,44,14300
149 Elmcrest Rd Structure 7,2169,266,1.886086957,12,152,17,5700
149 Elmcrest Rd Structure 12,3937,483,3.423478261,12,276,28,10300
149 Elmcrest Rd Structure 13,2691,330,2.34,12,188,22,7000
56 Centennial Park Rd Structure 5,3888,477,3.380869565,12,272,28,10100
56 Centennial Park Rd Structure 6,3898,478,3.389565217,12,273,29,10200
56 Centennial Park Rd Structure 7,2310,283,2.008695652,12,162,16,6000
56 Centennial Park Rd Structure 9,3409,418,2.964347826,12,239,24,8900
56 Centennial Park Rd Structure 10,2548,312,2.215652174,12,178,22,6600
55 Oxenden Cres Structure 1,5168,809,4.493913043,10,362,40,13500
571 Renforth Dr Structure 1,5839,914,5.077391304,9,409,47,13700
10 Queensland Crt Structure 1,5962,933,5.184347826,9,417,47,14000
475 Rathburn Rd Structure 2,3697,579,3.214782609,10,259,28,9600
475 Rathburn Rd Structure 3,2200,344,1.913043478,10,154,16,5700
475 Rathburn Rd Structure 4,1955,306,1.7,10,137,15,5100
16 Wareside Rd Structure 2,2465,386,2.143478261,10,173,19,6400
76 Carsbrooke Rd Structure 1,5707,893,4.962608696,10,399,48,14900
75 Carsbrooke Rd Structure 2,1663,260,1.446086957,10,116,12,4300
14 Monet Ave Structure 2,4130,646,3.591304348,10,289,30,10800
51 Carsbrooke Rd Structure 2,3139,491,2.729565217,10,220,23,8200
56 Carsbrooke Rd Structure 2,3413,534,2.967826087,10,239,25,8900
24 Guernsey Dr Structure 2,3075,481,2.673913043,10,215,22,8000
75 Wareside Rd Structure 2,6019,942,5.233913043,9,421,43,14100
516-552 The West Mall Structure 7,2920,457,2.539130435,10,204,26,7600
102 Wareside Rd Structure 2,2253,353,1.959130435,10,158,18,5900
86 Wareside Rd Structure 2,2816,441,2.448695652,10,197,21,7300
82 Wareside Rd Structure 2,1322,207,1.149565217,10,93,10,3400
80 Wareside Rd Structure 2,2426,380,2.109565217,10,170,18,6300
73 Wareside Rd Structure 2,2678,419,2.328695652,10,187,21,7000
3 Cambrian Rd Structure 1,5026,787,4.370434783,10,352,41,13100
117 Carsbrooke Rd Structure 1,6118,957,5.32,9,428,44,14400
461 Rathburn Rd Structure 1,3939,616,3.425217391,10,276,28,10300
456 Rathburn Rd Structure 1,4672,731,4.062608696,10,327,34,12200
460 Rathburn Rd Structure 2,2363,370,2.054782609,10,165,20,6200
7 Saffron Cres Structure 1,3200,501,2.782608696,10,224,28,8300
7 Capri Rd Structure 3,4602,720,4.00173913,10,322,37,12000
391 Rathburn Rd Structure 1,6071,950,5.279130435,9,425,50,14300
70 Vanguard Dr Structure 2,5278,826,4.589565217,10,369,38,13800
585 The East Mall Structure 1,3448,540,2.99826087,10,241,29,9000
589 The East Mall Structure 1,3218,504,2.79826087,10,225,26,8400
5 Capri Rd Structure 2,3861,604,3.357391304,10,270,34,10100
66 Wareside Rd Structure 2,2503,392,2.176521739,10,175,20,6500
108 Meadowbank Rd Structure 1,5830,912,5.069565217,9,408,46,13700
110 Meadowbank Rd Structure 1,6277,982,5.45826087,9,439,56,14700
109 Meadowbank Rd Structure 2,3913,612,3.402608696,10,274,31,10200
49 Vanguard Dr Structure 1,4077,638,3.545217391,10,285,34,10600
64 Vanguard Dr Structure 2,1537,241,1.336521739,10,108,13,4000
6 Halbadier Pl Structure 1,4493,703,3.906956522,10,315,33,11700
115 Meadowbank Rd Structure 1,4008,627,3.485217391,10,281,28,10500
59 Alanmeade Cres Structure 1,3259,510,2.833913043,10,228,25,8500
18 Dorlen Ave Structure 1,5317,832,4.623478261,10,372,44,13900
111 Warwood Rd Structure 2,1683,263,1.463478261,10,118,16,4400
105 Warwood Rd Structure 1,5476,857,4.76173913,10,383,42,14300
105 Warwood Rd Structure 2,3266,511,2.84,10,229,25,8500
114 Warwood Rd Structure 1,4693,734,4.080869565,10,329,36,12200
93 Warwood Rd Structure 2,2158,338,1.876521739,10,151,15,5600
89 Meadowbank Rd Structure 1,3892,609,3.384347826,10,272,30,10200
93 Meadowbank Rd Structure 2,4450,696,3.869565217,10,312,34,11600
98 Meadowbank Rd Structure 1,5048,790,4.389565217,10,353,38,13200
96 Meadowbank Rd Structure 1,5932,928,5.15826087,9,415,47,13900
57 Meadowbank Rd Structure 1,2302,360,2.00173913,10,161,20,6000
74 Warwood Rd Structure 1,6051,947,5.26173913,9,424,48,14200
70 Warwood Rd Structure 1,5900,923,5.130434783,9,413,50,13900
57 Warwood Rd Structure 1,5808,909,5.050434783,9,407,46,13600
53 Warwood Rd Structure 1,4276,669,3.71826087,10,299,35,11200
52 Warwood Rd Structure 1,5665,887,4.926086957,10,397,46,14800
48 Warwood Rd Structure 1,5519,864,4.799130435,10,386,41,14400
27 Meadowbank Rd Structure 1,4487,702,3.90173913,10,314,37,11700
25 Meadowbank Rd Structure 1,3844,602,3.342608696,10,269,31,10000
26 Warwood Rd Structure 1,5353,838,4.654782609,10,375,41,14000
26 Warwood Rd Structure 2,2374,372,2.064347826,10,166,20,6200
393 Burnhamthorpe Rd Structure 1,5403,846,4.69826087,10,378,38,14100
393 Burnhamthorpe Rd Structure 2,1592,249,1.384347826,10,111,14,4200
395 Burnhamthorpe Rd Structure 1,3933,616,3.42,10,275,29,10300
401 Burnhamthorpe Rd Structure 2,4969,778,4.320869565,10,348,36,13000
3 Meadowbank Rd Structure 1,3763,589,3.272173913,10,263,31,9800
475 The West Mall Structure 2,3043,476,2.646086957,10,213,27,7900
50 Meadowbank Rd Structure 1,5449,853,4.73826087,10,381,42,14200
12 Guernsey Dr Structure 1,4560,714,3.965217391,10,319,39,11900
10 Beckenham Crt Structure 2,2055,322,1.786956522,10,144,16,5400
14 Beckenham Crt Structure 1,6029,944,5.242608696,9,422,48,14200
2 Guernsey Dr Structure 1,4928,771,4.285217391,10,345,42,12900
3 Hernshaw Cres Structure 1,5526,865,4.805217391,10,387,44,14400
45 Crendon Dr Structure 2,5004,783,4.351304348,10,350,44,13100
42 Crendon Dr Structure 1,4556,713,3.96173913,10,319,38,11900
107 Wareside Rd Structure 2,3155,494,2.743478261,10,221,25,8200
115 Wareside Rd Structure 2,2103,329,1.828695652,10,147,17,5500
